DUA;Item;Fecha;A�o;Importador;RUC;Regimen;C�digo NCM;Aduana;V�a Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;Pa�s de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN Netos;Kgs. Brutos;Proveedor;Marca;Descripci�n de Mercader�a;Descripci�n para Filtro
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;38249099;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;16000;KILOGRAMO;16000;KILOGRAMO;0;No disponible;5520;0.35;6791.88;0.42;1237.11;16000;16;16453.6;NO DETERMINADO;No disponible;CARBONATO DE CALCIO S/M S/M                                                                                                                                                                                                                                                   (16 PALLETS)                                                                              MASTERBATCH CALPET-D CACO3;CARBONATO DE CALCIO S/M S/M
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;32064910;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;3000;KILOGRAMO;3000;KILOGRAMO;0;No disponible;2542.64;0.85;2790.61;0.93;231.95;3000;3;3085.05;NO DETERMINADO;No disponible;PIGMENTO S/M S/M                                                                                                                                                                                                                                                              (3 PALLETS)                                                                               PARA PLASTICO NEGRO MASTERBATCH MB9140 CACO3;PIGMENTO S/M S/M
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39081090;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;50;KILOGRAMO;50;KILOGRAMO;0;No disponible;87.3;1.75;91.71;1.83;3.86;50;0.05;51.41;NO DETERMINADO;No disponible;NAILON 6 S/M S/M                                                                                                                                                                                                                                                              (25 KG X 2 BAGS)                                                                          NATURAL,PLASTICO;NAILON 6 S/M S/M
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39081090;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;50;KILOGRAMO;50;KILOGRAMO;0;No disponible;105.94;2.12;110.47;2.21;3.86;50;0.05;51.41;NO DETERMINADO;No disponible;NAILON 6 S/M S/M                                                                                                                                                                                                                                                              (25 KG X 2 BAGS)                                                                          G/F 30% REINFORCED NATURAL,PLASTICO;NAILON 6 S/M S/M
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;29157022;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;100;KILOGRAMO;100;KILOGRAMO;0;No disponible;108.49;1.08;116.9;1.17;7.73;100;0.1;102.83;NO DETERMINADO;No disponible;ADITIVO PARA PLASTICO S/M S/M                                                                                                                                                                                                                                                 (20 KG X 5 BAGS)                                                                          ZINC STEAREATE;ADITIVO PARA PLASTICO S/M S/M
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;29157022;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;100;KILOGRAMO;100;KILOGRAMO;0;No disponible;121.2;1.21;129.69;1.3;7.73;100;0.1;102.83;NO DETERMINADO;No disponible;ADITIVO PARA PLASTICO S/M S/M                                                                                                                                                                                                                                                 (20 KG X 5 BAGS)                                                                          POLVO CALCIUM STEAREATE;ADITIVO PARA PLASTICO S/M S/M
118-025207;2520;03/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39076000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;KRZZA;Corea del Sur;Corea del Sur;100;KILOGRAMO;100;KILOGRAMO;0;No disponible;84.75;0.85;93.01;0.93;7.73;100;0.1;102.83;NO DETERMINADO;No disponible;RESINA S/M S/M                                                                                                                                                                                                                                                                (25 KG X 4 BAGS)                                                                          PET GRADO BOTELLA,PLASTICO PELOTILLA;RESINA S/M S/M
118-029834;2983;13/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39031900;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;CARTAGENA;Colombia;Colombia;26800;KILOGRAMO;26800;KILOGRAMO;0;No disponible;27643.04;1.03;28764.36;1.07;775.78;26800;26.8;27124.4;DEXTON S.A.;DEXTON;POLIESTIRENO USO GENERAL DEXTON PS502                                                                                                                                               INDUSTRIAL                                                                                INYECCION, EN SACOS DE 25 KG. C/U                                                         ,;POLIESTIRENO USO GENERAL DEXTON PS502                                                                                                                                               INDUSTRIAL
118-029834;2983;13/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39031900;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;CARTAGENA;Colombia;Colombia;1700;KILOGRAMO;1700;KILOGRAMO;0;No disponible;1753.47;1.03;1824.6;1.07;49.21;1700;1.7;1720.6;DEXTON S.A.;DEXTON;POLIESTIRENO USO GENERAL DEXTON PS502                                                                                                                                               INDUSTRIAL                                                                                INYECCION, EN SACOS DE 25 KG. C/U                                                         ,;POLIESTIRENO USO GENERAL DEXTON PS502                                                                                                                                               INDUSTRIAL
118-029834;2983;13/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39031900;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;CARTAGENA;Colombia;Colombia;9500;KILOGRAMO;9500;KILOGRAMO;0;No disponible;10076.16;1.06;10477.11;1.1;275;9500;9.5;9615;DEXTON S.A.;DEXTON;POLIESTIRENO ALTO IMPACTO DEXTON PS802H                                                                                                                                             INDUSTRIAL                                                                                INYECCION, EN SACOS DE 25 KG. C/U                                                         ,;POLIESTIRENO ALTO IMPACTO DEXTON PS802H                                                                                                                                             INDUSTRIAL
118-029834;2983;13/03/2004;2004;FULL S.A.C.;4  20122837506;No disponible;39031900;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;No disponible;CARTAGENA;Colombia;Colombia;19000;KILOGRAMO;19000;KILOGRAMO;0;No disponible;20152.32;1.06;20954.22;1.1;550;19000;19;19230;DEXTON S.A.;DEXTON;POLIESTIRENO ALTO IMPACTO DEXTON PS825EH                                                                                                                                            INDUSTRIAL                                                                                INYECCION, EN SACOS DE 25 KG. C/U                                                         ,;POLIESTIRENO ALTO IMPACTO DEXTON PS825EH                                                                                                                                            INDUSTRIAL
118-038458;3845;02/04/2004;2004;FULL S.A.C.;4  20122837506;No disponible;28211010;MARITIMA DEL CALLAO;MARITIMO;AGENCIAS UNIVERSALES PERU;-;No disponible;SHANGHAI;China;China;25000;KILOGRAMO;25000;KILOGRAMO;0;No disponible;10500;0.42;12207.5;0.49;1550;25000;25;25340;GUANGDONG FOREST PRODUCTS INDUSTRIAL CORPORATION;S/M;OXIDO DE HIERRO S/M S/M                                                                                                                                                                                                                                                                                                                                                 ROJO 130A 96.76% EN BOLSA DE PP DE 25 KGS NETO;OXIDO DE HIERRO S/M S/M
