DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-025419;2541;3/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;KINGSTON;Estados Unidos;Estados Unidos;105;KILOGRAMO POR 10**3;105000;KILOGRAMO;0;Não disponível;97350;927.14;102053.7;971.94;4500;105000;105;105510;NO DETERMINADO;Não disponível;POLIETILENO                                                                               HDPE FILM FORMOSA FORMOLENE GRADE E 924                                                   E 924                                                                                                                                                                               FORMOSA FORMOLENE;POLIETILENO                                                                               HDPE FILM FORMOSA FORMOLENE GRADE E 924                                                   E 924
118-025151;2515;3/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;PUSAN;Coreia do Sul;Estados Unidos;54;KILOGRAMO POR 10**3;54000;KILOGRAMO;0;Não disponível;47010;870.56;50861.56;941.88;3750;54000;54;54530;NO DETERMINADO;Não disponível;POLIETILENO                                                                               HDPE F120A                                                                                F120A                                                                                                                                                                               SAMSUNG;POLIETILENO                                                                               HDPE F120A                                                                                F120A
118-026413;2641;4/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;SANTOS;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;17250;0.86;19038;0.95;1750;20000;20;20170;NO DETERMINADO;Não disponível;NEGRO 926                                                                                 NEGRO DE ORIGEN MINERAL,LOTE: 5051SJ,5052SJ,5180RN,5181RN,5182RN                          PR 926-EX                                                                                                                                                                           CROMEX;NEGRO 926                                                                                 NEGRO DE ORIGEN MINERAL,LOTE: 5051SJ,5052SJ,5180RN,5181RN,5182RN                          PR 926-EX
118-026883;2688;5/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32061900;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;SANTOS;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;33250;1.66;35070;1.75;1750;20000;20;20600;NO DETERMINADO;Não disponível;BLANCO 770                                                                                PREPARACIONES A LA BASE DE DIOXIDO                                                                                                                                                                                                                                            CROMEX;BLANCO 770                                                                                PREPARACIONES A LA BASE DE DIOXIDO
118-027571;2757;8/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;GREENANDES S.A.C.;-;Não disponível;LAEM CHABANG;Tailândia;Estados Unidos;90;KILOGRAMO POR 10**3;90000;KILOGRAMO;0;Não disponível;78500;872.22;85671;951.9;7000;90000;90;90502.4;OXYDE CHEMICALS, INC.;CC CHEMICAL COMMERCE;HDPE - H5604F FILM                                                                        DE ALTA DENSIDAD (90TM)                                                                   H5604F                                                                                                                                                                              CCC CHEMICAL COMMERCE;HDPE - H5604F FILM                                                                        DE ALTA DENSIDAD (90TM)                                                                   H5604F
118-030257;3025;15/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;TECNICA NAVIERA Y PORTUAR;-;Não disponível;KRZZA;Coreia do Sul;Estados Unidos;157.5;TONELADAS;157500;KILOGRAMO;0;Não disponível;143887.5;913.57;155447.78;986.97;11250;157500;157.5;158870;POLYMER RESOURCES INTERNATIONAL (USA) INC.;LG PETROCHEMICAL LTD;POLIETILENO DE ALTA DENSIDAD                                                              LUTENE FE0070 FILM HMW FILM GRADE                                                         LUTENE FE0070                                                                                                                                                                       LG PETROCHEMICAL LTD;POLIETILENO DE ALTA DENSIDAD                                                              LUTENE FE0070 FILM HMW FILM GRADE                                                         LUTENE FE0070
118-030277;3027;15/03/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;MAERSK PERU S.A.;-;Não disponível;PUSAN;Coreia do Sul;Estados Unidos;17.5;KILOGRAMO POR 10**3;17500;KILOGRAMO;0;Não disponível;15120;864;16482.9;941.88;1330;17500;17.5;17580;MONTACHEM INTERNATIONAL, INC.;JLM INTERNATIONAL INC;POLIETILENO                                                                               HDPE FE0070                                                                               FE0070                                                                                                                                                                              JLM INTERNATIONAL INC;POLIETILENO                                                                               HDPE FE0070                                                                               FE0070
118-039560;3956;6/04/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;SANTOS;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;17250;0.86;19038;0.95;1750;20000;20;20620;CROMEX BRANCOLOR LTDA.;CROMEX BRANCOLOR;NEGRO 926                                                                                 NEGRO DE ORIGEN MINERAL,LOTE: 5052SJ,5053SJ,5061SJ,5089SJ,5090SJ                          PR 926-EX                                                                                                                                                                           CROMEX BRANCOLOR;NEGRO 926                                                                                 NEGRO DE ORIGEN MINERAL,LOTE: 5052SJ,5053SJ,5061SJ,5089SJ,5090SJ                          PR 926-EX
118-039571;3957;6/04/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32061900;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;SANTOS;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;33250;1.66;35070;1.75;1750;20000;20;20145;CROMEX BRANCOLOR LTDA.;CROMEX BRANCOLOR;BLANCO 770                                                                                PREPARACIONES A BASE DE DIOXIDO DE TITANIO                                                                                                                                                                                                                                    CROMEX BRANCOLOR;BLANCO 770                                                                                PREPARACIONES A BASE DE DIOXIDO DE TITANIO
118-041806;4180;13/04/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MAERSK PERU S.A.;-;Não disponível;DAMMAN;Arábia Saudita;Estados Unidos;100.5;KILOGRAMO POR 10**3;100500;KILOGRAMO;0;Não disponível;80610;802.09;92644.92;921.84;11850;100500;100.5;101575;VINMAR INTERNATIONAL LTD.;SABIC;LADENE 118W                                                                               POLIETILENO DE BAJA DENSIDAD LINEAL                                                       LADENE 118W                                                                                                                                                                         SABIC;LADENE 118W                                                                               POLIETILENO DE BAJA DENSIDAD LINEAL                                                       LADENE 118W
118-044448;4444;16/04/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32061900;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;SANTOS;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;33950;1.7;35671.2;1.78;1650;20000;20;20600;CROMEX BRANCOLOR LTDA.;CROMEX BRANCOLOR;BLANCO 770                                                                                PREPARACIONES A LA BASE DE DIOXIDO DE TITANIO                                             770                                                                                                                                                                                 CROMEX BRANCOLOR;BLANCO 770                                                                                PREPARACIONES A LA BASE DE DIOXIDO DE TITANIO                                             770
118-044501;4450;16/04/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;SANTOS;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;17750;0.89;19438.8;0.97;1650;20000;20;20120;CROMEX BRANCOLOR LTDA.;CROMEX BRANCOLOR;NEGRO 926                                                                                 NEGRO DE ORIGEN MINERAL                                                                                                                                                                                                                                                       CROMEX BRANCOLOR;NEGRO 926                                                                                 NEGRO DE ORIGEN MINERAL
118-071705;7170;16/06/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;GREENANDES S.A.C.;-;Não disponível;TANJONG PELEPAS;Malásia;Estados Unidos;247.5;KILOGRAMO POR 10**3;247500;KILOGRAMO;0;Não disponível;217243.67;877.75;239811.17;968.93;22088.83;247500;247.5;249130;SC POLYMERS, INC.;SC POLYMERS, INC.;LDPE TITANLENE LDF 260GG (49.50 KG3)                                                      POLIETILENO DE BAJA DENSIDAD                                                              LDF 260GG, LDF 200GG                                                                      LDPE TITANLENE LDF 200GG (198.00 KG3)                                                     SC POLYMERS, INC.;LDPE TITANLENE LDF 260GG (49.50 KG3)                                                      POLIETILENO DE BAJA DENSIDAD                                                              LDF 260GG, LDF 200GG
118-073133;7313;21/06/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;KRZZA;Coreia do Sul;Estados Unidos;102;KILOGRAMO POR 10**3;102000;KILOGRAMO;0;Não disponível;98700;967.65;107260.65;1051.58;8400;102000;102;102810;VINMAR INTERNATIONAL LTD.;LG INTERNATIONAL CORP.;POLIETILENO                                                                               DE BAJA DENSIDAD                                                                          FB3000                                                                                                                                                                              LG INTERNATIONAL CORP.;POLIETILENO                                                                               DE BAJA DENSIDAD                                                                          FB3000
118-082402;8240;9/07/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;VALPARAISO;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;18650;0.93;20831.2;1.04;2150;20000;20;20170;CROMEX BRANCOLOR LTDA.;CROMEX;PIGMENTO NEGRO 926                                                                        NEGROS DE ORIGEN MINERAL                                                                                                                                                                                                                                                      CROMEX;PIGMENTO NEGRO 926                                                                        NEGROS DE ORIGEN MINERAL
118-082430;8243;9/07/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;VALPARAISO;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;18650;0.93;20831.2;1.04;2150;20000;20;20210;CROMEX BRANCOLOR LTDA.;CROMEX;PIGMENTO NEGRO 926                                                                        NEGRO DE ORIGEN MINERAL                                                                                                                                                                                                                                                       CROMEX;PIGMENTO NEGRO 926                                                                        NEGRO DE ORIGEN MINERAL
118-085511;8551;15/07/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39021000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;71.5;KILOGRAMO POR 10**3;71500;KILOGRAMO;0;Não disponível;64322.98;899.62;67668.85;946.42;3244.52;71500;71.5;71570;MONTACHEM INTERNATIONAL, INC.;MONTACHEM INTERNATIONAL I;POLIPROPILENO                                                                             POLYPROPYLENE                                                                                                                                                                                                                                                                 MONTACHEM INTERNATIONAL INC;POLIPROPILENO                                                                             POLYPROPYLENE
118-085739;8573;16/07/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;KRZZA;Coreia do Sul;Estados Unidos;87.5;KILOGRAMO POR 10**3;87500;KILOGRAMO;0;Não disponível;78125;892.86;85002.31;971.45;6750;87500;87.5;88190;MUEHLSTEIN INTERNATIONAL LTD.;MUEHLSTEIN;POLIETILENO                                                                               DE ALTA DENSIDAD GRADO: 7000F/LOTE: EX0251525                                                                                                                                                                                                                                 MUEHLSTEIN;POLIETILENO                                                                               DE ALTA DENSIDAD GRADO: 7000F/LOTE: EX0251525
118-089951;8995;23/07/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;VALPARAISO;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;18530;0.93;20831.2;1.04;2270;20000;20;20230;CROMEX BRANCOLOR LTDA.;CROMEX;PIGMENTO NEGRO 926                                                                        NEGROS DE ORIGEN MINERAL                                                                  926                                                                                                                                                                                 CROMEX;PIGMENTO NEGRO 926                                                                        NEGROS DE ORIGEN MINERAL                                                                  926
118-093253;9325;2/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;SINGAPORE;Tailândia;Tailândia;144;KILOGRAMO POR 10**3;144000;KILOGRAMO;0;Não disponível;122640;851.67;134841.96;936.4;12000;144000;144;144910;CCC CHEMICAL COMMERCE CO. LTD;Não disponível;POLIETILENO                                                                               HIGH DENSITY POLYETHYLENE RESIN 25 KGS X BAGS;POLIETILENO                                                                               HIGH DENSITY POLYETHYLENE RESIN 25 KGS X BAGS
118-093331;9333;2/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;DAMMAN;Arábia Saudita;Estados Unidos;50.25;KILOGRAMO POR 10**3;50250;KILOGRAMO;0;Não disponível;40402.5;804.03;45807.63;911.59;5336.54;50250;50.25;50860;VINMAR INTERNATIONAL LTD.;VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W                                                                                                                                                                         VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W
118-093331;9333;2/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;FREEPORT, GRAND BAHAMA;Arábia Saudita;Estados Unidos;50.25;KILOGRAMO POR 10**3;50250;KILOGRAMO;0;Não disponível;40402.5;804.03;45784.54;911.14;5313.45;50250;50.25;50640;VINMAR INTERNATIONAL LTD.;VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W                                                                                                                                                                         VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W
118-093331;9333;2/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;FREEPORT, GRAND BAHAMA;Arábia Saudita;Estados Unidos;33.5;KILOGRAMO POR 10**3;33500;KILOGRAMO;0;Não disponível;26935;804.03;30528.28;911.29;3547.55;33500;33.5;33810;VINMAR INTERNATIONAL LTD.;VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W                                                                                                                                                                         VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W
118-093331;9333;2/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;DAMMAN;Arábia Saudita;Estados Unidos;16.75;KILOGRAMO POR 10**3;16750;KILOGRAMO;0;Não disponível;13467.5;804.03;15267.8;911.51;1777.44;16750;16.75;16940;VINMAR INTERNATIONAL LTD.;VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W                                                                                                                                                                         VINMAR INTERNATIONAL;POLIETILENO                                                                               DE BAJA DENSIDAD  LINEAL                                                                  LADENE 218W
118-096540;9654;6/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;90;KILOGRAMO POR 10**3;90000;KILOGRAMO;0;Não disponível;81350;903.89;84726.9;941.41;3250;90000;90;90310;VINMAR INTERNATIONAL LTD.;VINMAR INTERNATIONAL;POLIETILENO                                                                               DE ALTO PESO MOLECULAR                                                                    HM6015                                                                                                                                                                              VINMAR INTERNATIONAL;POLIETILENO                                                                               DE ALTO PESO MOLECULAR                                                                    HM6015
118-101039;0103;16/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MAERSK PERU S.A.;-;Não disponível;KWANGYANG;Coreia do Sul;Estados Unidos;18.5;KILOGRAMO POR 10**3;18500;KILOGRAMO;0;Não disponível;17000;918.92;18527.75;1001.5;1500;18500;18.5;18610;MONTACHEM INTERNATIONAL, INC.;Não disponível;POLIETILENO                                                                               POLYETHYLENE LLDPE                                                                        3305;POLIETILENO                                                                               POLYETHYLENE LLDPE                                                                        3305
118-101039;0103;16/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MAERSK PERU S.A.;-;Não disponível;KWANGYANG;Coreia do Sul;Estados Unidos;18.5;KILOGRAMO POR 10**3;18500;KILOGRAMO;0;Não disponível;17000;918.92;18527.75;1001.5;1500;18500;18.5;18710;MONTACHEM INTERNATIONAL, INC.;Não disponível;POLIETILENO                                                                               POLYETHYLENE LLDPE                                                                        3305;POLIETILENO                                                                               POLYETHYLENE LLDPE                                                                        3305
118-103730;0373;20/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;108;KILOGRAMO POR 10**3;108000;KILOGRAMO;0;Não disponível;98550;912.5;102753.9;951.43;4050;108000;108;108780;ICD AMERICA LLC.;ICD;POLIETILENO                                                                               DE ALTA DENSIDAD, HDPE HMW ALATHON L5005                                                                                                                                                                                                                                      ICD;POLIETILENO                                                                               DE ALTA DENSIDAD, HDPE HMW ALATHON L5005
118-104723;0472;23/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39021000;MARITIMA DEL CALLAO;MARITIMO;TRAMARSA - TRABAJOS MARIT;-;Não disponível;SAN VICENTE;Chile;Chile;99;KILOGRAMO POR 10**3;99000;KILOGRAMO;0;Não disponível;96369.57;973.43;102122.52;1031.54;5600;99000;99;101660;PETROQUIM S.A.;PETROQUIM;POLIPROPILENO                                                                             HOMOPOLIMERO PH 0953                                                                      PH 0953                                                                                                                                                                             PETROQUIM;POLIPROPILENO                                                                             HOMOPOLIMERO PH 0953                                                                      PH 0953
118-107341;0734;27/08/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;180;KILOGRAMO POR 10**3;180000;KILOGRAMO;0;Não disponível;163200;906.67;173059.2;961.44;9600;180000;180;180445;VINMAR INTERNATIONAL LTD.;VINMAR;POLIETILENO                                                                               DE ALTO PESO MOLECULAR, HM6015 CYNPOL                                                     HM6015                                                                                                                                                                              VINMAR;POLIETILENO                                                                               DE ALTO PESO MOLECULAR, HM6015 CYNPOL                                                     HM6015
118-109544;0954;1/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32061900;MARITIMA DEL CALLAO;MARITIMO;TRAMARSA - TRABAJOS MARIT;-;Não disponível;SAN ANTONIO;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;34960;1.75;38057;1.9;3040;20000;20;20620;CROMEX BRANCOLOR LTDA.;Não disponível;PIGMENTO BLANCO 770                                                                       PREPARACIONES A LA BASE DE DIOXIDO DE TITANIO;PIGMENTO BLANCO 770                                                                       PREPARACIONES A LA BASE DE DIOXIDO DE TITANIO
118-109630;0963;1/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;32064991;MARITIMA DEL CALLAO;MARITIMO;TRAMARSA - TRABAJOS MARIT;-;Não disponível;SAN ANTONIO;Brasil;Brasil;20000;KILOGRAMO;20000;KILOGRAMO;0;Não disponível;17760;0.89;20831.2;1.04;3040;20000;20;20140;CROMEX BRANCOLOR LTDA.;CROMEX;PIGMENTO NEGRO 926                                                                        NEGROS DE ORIGEN MINERAL                                                                  926                                                                                                                                                                                 CROMEX;PIGMENTO NEGRO 926                                                                        NEGROS DE ORIGEN MINERAL                                                                  926
118-115034;1503;10/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;MANZANILLO;Estados Unidos;Estados Unidos;18;KILOGRAMO POR 10**3;18000;KILOGRAMO;0;Não disponível;16530;918.33;17305.92;961.44;750;18000;18;18060;VINMAR OVERSEAS LTD.;VINMAR;POLIETILENO                                                                               DE ALTO PESO MOLECULAR,  CYNPOL                                                           HM6015                                                                                                                                                                              VINMAR;POLIETILENO                                                                               DE ALTO PESO MOLECULAR,  CYNPOL                                                           HM6015
118-121566;2156;24/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39021000;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;-;Não disponível;SAN VICENTE;Chile;Chile;198;KILOGRAMO POR 10**3;198000;KILOGRAMO;0;Não disponível;198679.14;1003.43;210193.96;1061.59;11200;198000;198;202918;PETROQUIM S.A.;PETROQUIM;POLIPROPILENO                                                                             POLIPROPILENO HOMOPOLIMERO PH 0953                                                        PH0953                                                                                                                                                                              PETROQUIM;POLIPROPILENO                                                                             POLIPROPILENO HOMOPOLIMERO PH 0953                                                        PH0953
118-121806;2180;24/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;90;KILOGRAMO POR 10**3;90000;KILOGRAMO;0;Não disponível;81180;902;86529.6;961.44;5220;90000;90;90170;VINMAR INTERNATIONAL LTD.;VINMAR;POLIETILENO                                                                               DE ALTA DENSIDAD CYMPOL, HM6015, 3600 BOLSAS                                              HM6015                                                                                                                                                                              VINMAR;POLIETILENO                                                                               DE ALTA DENSIDAD CYMPOL, HM6015, 3600 BOLSAS                                              HM6015
118-123347;2334;28/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;72;KILOGRAMO POR 10**3;72000;KILOGRAMO;0;Não disponível;74980;1041.39;78597.72;1091.64;3500;72000;72;72090;MUEHLSTEIN INTERNATIONAL;MUEHLSTEIN;POLIETILENO                                                                               DE ALTA DENSIDAD, GRADO: HWF-852B, LOTE: EX0256702/1930 BOLSAS, LOTE: EX0257165/950 BOLSASHWF-852B                                                                                                                                                                            MUEHLSTEIN;POLIETILENO                                                                               DE ALTA DENSIDAD, GRADO: HWF-852B, LOTE: EX0256702/1930 BOLSAS, LOTE: EX0257165/950 BOLSASHWF-852B
118-123321;2332;28/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;35;KILOGRAMO POR 10**3;34965;KILOGRAMO;0;Não disponível;40320;1152;42133.05;1203.8;1750;34965;34.965;34965;MUEHLSTEIN INTERNATIONAL;MUEHLSTEIN;POLIETILENO                                                                               DE BAJA DENSIDAD, GRADO: LDF-219A, LOTE: EX0214357/655 BOLSAS, LOTE: EX0217364/643        LDF-219A                                                                                  LOTE: EX0257225/102 BOLSAS                                                                MUEHLSTEIN;POLIETILENO                                                                               DE BAJA DENSIDAD, GRADO: LDF-219A, LOTE: EX0214357/655 BOLSAS, LOTE: EX0217364/643        LDF-219A
118-123321;2332;28/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;17.5;KILOGRAMO POR 10**3;17482.5;KILOGRAMO;0;Não disponível;20930;1196;21837.73;1247.87;875;17482.5;17.4825;17482.5;MUEHLSTEIN INTERNATIONAL;MUEHLSTEIN;POLIETILENO                                                                               DE BAJA DENSIDAD, GRADO:LDF-221C, LOTE: EX0257198/700 BOLSAS                              LDF-221C                                                                                                                                                                            MUEHLSTEIN;POLIETILENO                                                                               DE BAJA DENSIDAD, GRADO:LDF-221C, LOTE: EX0257198/700 BOLSAS                              LDF-221C
118-123321;2332;28/09/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;-;Não disponível;HOUSTON;Estados Unidos;Estados Unidos;17.5;KILOGRAMO POR 10**3;17482.5;KILOGRAMO;0;Não disponível;20930;1196;21837.73;1247.87;875;17482.5;17.4825;17482.5;MUEHLSTEIN INTERNATIONAL;MUEHLSTEIN;POLIETILENO                                                                               DE BAJA DENSIDAD, GRADO: LDF-222C, LOTE: EX0259730/475 BOLSAS, LOTE: EX0259731/225 BOLSAS LDF-222C                                                                                                                                                                            MUEHLSTEIN;POLIETILENO                                                                               DE BAJA DENSIDAD, GRADO: LDF-222C, LOTE: EX0259730/475 BOLSAS, LOTE: EX0259731/225 BOLSAS LDF-222C
118-125140;2514;1/10/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;-;Não disponível;PUSAN;Coreia do Sul;Estados Unidos;180;KILOGRAMO POR 10**3;180000;KILOGRAMO;0;Não disponível;175500;975;189283.5;1051.58;13500;180000;180;180840;VINMAR INTERNATIONAL LTD.;VINMAR;POLIETILENO                                                                               POLIETILENO DE ALTA DENSIDAD                                                              LH7200                                                                                                                                                                              VINMAR;POLIETILENO                                                                               POLIETILENO DE ALTA DENSIDAD                                                              LH7200
118-129043;2904;11/10/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MAERSK PERU S.A.;-;Não disponível;KWANGYANG;Coreia do Sul;Estados Unidos;18.25;KILOGRAMO POR 10**3;18250;KILOGRAMO;0;Não disponível;20830;1141.37;22663.45;1241.83;1799.51;18250;18.25;18350;MONTACHEN INTERNATIONAL INC;HANWA CHEMICAL;POLIETILENO                                                                               DE BAJA DENSIDAD LLDPE 3304                                                               LLDPE 3304                                                                                                                                                                          HANWA CHEMICAL;POLIETILENO                                                                               DE BAJA DENSIDAD LLDPE 3304                                                               LLDPE 3304
118-129043;2904;11/10/2004;2004;POLIMASTER S.A.C.;4  20380632943;Não disponível;39011000;MARITIMA DEL CALLAO;MARITIMO;MAERSK PERU S.A.;-;Não disponível;KWANGYANG;Coreia do Sul;Estados Unidos;18.25;KILOGRAMO POR 10**3;18250;KILOGRAMO;0;Não disponível;20830;1141.37;22664.43;1241.89;1800.49;18250;18.25;18360;MONTACHEN INTERNATIONAL INC;HANWA CHEMICAL;POLIETILENO                                                                               DE BAJA DENSIDAD LLDPE 3304                                                               LLDPE 3304                                                                                                                                                                          HANWA CHEMICAL;POLIETILENO                                                                               DE BAJA DENSIDAD LLDPE 3304                                                               LLDPE 3304
